YEAR,DESCRIPTION,WEIGHT,UNITS,1,2,3,4,5,6,7,8,9,10,11,12
2015,NATURAL,700,12,4,16,24,32,13,35,22,50,22,17,29,32
2015,NATURAL,1,12,8,0,6,1,4,11,8,6,1,20,12,18
2015,NATURAL,200,24,0,0,4,0,0,1,0,5,0,0,2,0
2015,SWEET,750,12,0,0,0,3,0,1,0,0,1,0,0,1
2015,SALTED,750,12,0,0,0,1,6,0,0,1,0,0,0,1
2015,NATURAL,700,12,24,28,42,42,30,47,14,30,27,34,29,33
2015,NATURAL,1,12,17,8,18,23,10,9,8,12,14,17,15,3
2015,NATURAL,200,24,12,8,7,8,1,5,2,11,1,1,2,0
2015,SWEET,750,12,1,2,1,0,1,3,2,2,0,2,2,9
2015,SALTED,750,12,0,0,0,2,1,1,2,0,0,2,2,0
2015,NATURAL,700,12,38,33,25,30,47,33,21,28,21,21,55,22
2015,NATURAL,1,12,59,58,62,52,55,86,72,58,68,69,46,66
2015,NATURAL,200,24,0,0,1,1,1,1,0,0,1,0,3,0
2015,SWEET,750,12,9,5,2,9,0,17,7,1,12,4,6,4
2015,SALTED,750,12,0,1,1,1,7,4,2,27,26,19,5,19
2015,NATURAL,700,12,81,72,76,73,86,86,78,90,72,78,91,81
2015,NATURAL,1,12,98,66,82,70,93,80,68,80,105,105,89,66
2015,NATURAL,200,24,0,7,1,12,2,1,0,4,19,5,0,0
2015,SWEET,750,12,10,6,9,8,5,6,2,6,22,6,6,16
2015,SALTED,750,12,0,0,2,3,9,6,5,37,28,19,16,13
2015,NATURAL,700,12,36,19,19,21,28,32,42,46,21,52,29,46
2015,NATURAL,1,12,33,30,35,32,45,33,46,33,57,34,34,28
2015,NATURAL,200,24,7,0,0,13,2,0,2,9,9,17,15,20
2015,SWEET,750,12,4,8,8,1,2,2,3,4,0,3,2,10
2015,SALTED,750,12,4,0,1,1,8,0,3,25,18,13,6,17
2015,NATURAL,700,12,54,72,71,101,56,41,75,73,83,50,42,79
2015,NATURAL,1,12,45,31,71,70,68,58,52,67,54,71,56,52
2015,NATURAL,200,24,0,5,22,0,4,13,7,48,20,8,0,7
2015,SWEET,750,12,3,0,0,3,3,3,1,3,4,1,0,6
2015,SALTED,750,12,2,0,2,0,5,2,1,17,9,3,15,6
2015,NATURAL,700,12,6,4,7,8,26,8,30,7,12,25,10,19
2015,NATURAL,1,12,11,17,12,27,11,15,31,19,12,21,21,27
2015,NATURAL,200,24,0,4,3,0,2,12,3,0,1,3,0,1
2015,SWEET,750,12,8,2,5,3,5,9,10,4,2,2,2,6
2015,SALTED,750,12,0,0,0,3,1,5,22,5,7,5,11,4
2015,NATURAL,700,12,15,17,35,48,55,75,29,105,38,34,78,55
2015,NATURAL,1,12,30,38,39,67,44,55,66,46,65,58,69,91
2015,NATURAL,200,24,2,5,17,12,2,8,18,11,10,0,7,1
2015,SWEET,750,12,5,4,1,6,1,6,0,3,3,4,2,11
2015,SALTED,750,12,4,3,0,1,1,1,2,31,7,22,16,3
2015,NATURAL,700,12,66,62,41,52,31,0,0,0,0,0,0,26
2015,NATURAL,1,12,71,23,21,30,18,0,0,0,0,0,0,3
2015,NATURAL,200,24,3,4,1,0,0,0,0,0,0,0,0,0
2015,SWEET,750,12,0,2,0,0,0,0,0,0,0,0,0,6
2015,SALTED,750,12,3,0,3,0,0,0,0,0,0,0,0,0
2015,NATURAL,700,12,62,41,45,36,62,49,49,61,36,55,48,97
2015,NATURAL,1,12,38,44,39,36,44,40,29,30,40,43,47,41
2015,NATURAL,200,24,20,9,15,32,35,70,87,84,83,96,67,62
2015,SWEET,750,12,2,5,8,6,3,12,5,9,4,7,2,17
2015,SALTED,750,12,3,0,2,9,4,12,0,6,2,8,5,3
2015,NATURAL,700,12,17,16,26,18,60,31,33,19,33,12,20,5
2015,NATURAL,1,12,12,31,28,17,44,30,26,33,41,27,42,33
2015,NATURAL,200,24,0,2,2,5,2,4,2,5,1,3,1,0
2015,SWEET,750,12,55,19,11,11,11,11,4,7,8,4,5,13
2015,SALTED,750,12,2,2,0,0,11,2,2,20,11,25,8,1
2016,NATURAL,700,12,0,0,0,1,0,1,0,2,9,4,1,1
